Day,Week,Date,Module,Module Text,Topics,Best,Best Score,2nd Best,2nd Best Score,3rd Best,3rd Best Scrore,Mapping,Mentor Dictionary
Day27,Week14,2018-12-01,MiTH,Scholarship Exam,,,,,,,,,
Day28,Week14,2018-12-02,MiTH,Scholarship Exam,,,,,,,,,
Day29,Week15,2018-12-08,CSE 7321c – AI,AI and Decision Sciences,Deep Learning,Dr. Surya Kompalli,2.1,Dr. Dakshinamurthy Kolluru,2.1,,,['Deep Learning'],"{'Dr. Surya Kompalli': 2.1000000000000001, 'Dr. Dakshinamurthy Kolluru': 2.1000000000000001}"
Day30,Week15,2018-12-09,CSE 7321c – AI,AI and Decision Sciences,CNN,Dr. Surya Kompalli,2.1,Dr. Dakshinamurthy Kolluru,2.1,Dr. Rohit Lotlikar,1.0,['CNN'],"{'Dr. Surya Kompalli': 2.1000000000000001, 'Dr. Rohit Lotlikar': 1.0, 'Dr. Dakshinamurthy Kolluru': 2.1000000000000001}"
Day31,Week16,2018-12-15,CSE 7321c – AI,AI and Decision Sciences,RNN & LSTM,Dr. Sreerama Murthy,4.2,Dr. Praphul Chandra,3.0,Dr. Manoj Duse,1.0,['RNN & LSTM'],"{'Dr. Sreerama Murthy': 4.2000000000000002, 'Dr. Praphul Chandra': 3.0, 'Dr. Manoj Duse': 1.0}"
Day32,Week16,2018-12-16,CSE 7321c,AI and Decision Sciences,Linear Programming,Dr. Sreerama Murthy,6.3,Dr. Manoj Duse,3.0,Dr. Praphul Chandra,3.0,['Linear Programming'],"{'Dr. Anand Narasimhamurthy': 2.0, 'Dr. Sreerama Murthy': 6.3000000000000016, 'Dr. Rohit Lotlikar': 1.0, 'Dr. Manoj Duse': 3.0, 'Dr. Anand Jayaraman': 2.1000000000000001, 'Dr. Praphul Chandra': 3.0}"
Day33,Week17,2018-12-22,CSE 7321c,AI and Decision Sciences,Monte Carlo Simulations & Genetic Algorithm,Dr. Sreerama Murthy,6.3,Dr. Manoj Duse,3.0,Dr. Anand Narasimhamurthy,1.0,['Monte Carlo Simulations & Genetic Algorithm'],"{'Dr. Sreerama Murthy': 6.3000000000000016, 'Dr. Anand Narasimhamurthy': 1.0, 'Dr. Manoj Duse': 3.0, 'Dr. Rohit Lotlikar': 1.0}"
Day34,Week17,2018-12-23,CUTe,CSE 7321c,,,,,,,,,
Day35,Week18,2018-12-29,CSE 7322c,Applying ML to Big Data Using Hadoop and Spark Ecosystem,Big Data,Dr. Sreerama Murthy,6.3,Dr. Praphul Chandra,3.0,Dr. Manoj Duse,3.0,['Big Data'],"{'Dr. Sreerama Murthy': 6.3000000000000016, 'Dr. Praphul Chandra': 3.0, 'Dr. Manoj Duse': 3.0, 'Dr. Ventakesh Sunkad': 3.0}"
Day36,Week18,2018-12-30,CSE 7322c,Applying ML to Big Data Using Hadoop and Spark Ecosystem,Big Data,Dr. Sreerama Murthy,6.3,Dr. Surya Kompalli,4.2,Dr. Manoj Duse,3.0,['Big Data'],"{'Dr. Surya Kompalli': 4.2000000000000002, 'Dr. Sreerama Murthy': 6.3000000000000016, 'Dr. Manoj Duse': 3.0, 'Dr. Ventakesh Sunkad': 3.0, 'Dr. Praphul Chandra': 3.0}"
