Day,Week,Date,Module,Module Text,Topics,Proposed,Best,Best Score,2nd Best,2nd Best Score,3rd Best,3rd Best Scrore,4rd Best,4rd Best Scrore,5rd Best,5rd Best Scrore,Mapping,Mentor Dictionary
Day35,Week18,04-05-2019,CSE 7322c,Applying ML to Big Data Using Hadoop and Spark Ecosystem,Big Data,Dr. Surya Kompalli,Dr. Surya Kompalli,6.72,Dr. Praphul Chandra,4.8,Dr. Manoj Duse,4.8,Dr. Sreerama Murthy,4.2,Dr. Dakshinamurthy Kolluru,3.36,['Big Data'],"{'Dr. Praphul Chandra': 4.800000000000002, 'Dr. Manoj Duse': 4.800000000000002, 'Dr. Dakshinamurthy Kolluru': 3.3600000000000003, 'Dr. Surya Kompalli': 6.7200000000000015, 'Dr. Sreerama Murthy': 4.2}"
Day36,Week18,05-05-2019,CSE 7322c,Applying ML to Big Data Using Hadoop and Spark Ecosystem,Big Data,Dr. Surya Kompalli,Dr. Surya Kompalli,6.72,Dr. Praphul Chandra,4.8,Dr. Manoj Duse,4.8,Dr. Sreerama Murthy,4.2,Dr. Dakshinamurthy Kolluru,3.36,['Big Data'],"{'Dr. Praphul Chandra': 4.800000000000002, 'Dr. Manoj Duse': 4.800000000000002, 'Dr. Dakshinamurthy Kolluru': 3.3600000000000003, 'Dr. Surya Kompalli': 6.7200000000000015, 'Dr. Sreerama Murthy': 4.2}"
Day37,Week19,11-05-2019,CSE 7323c,Building End-to-End Data Science Applications,,,,,,,,,,,,,,
Day38,Week19,12-05-2019,CSE 7323c,Building End-to-End Data Science Applications,,,,,,,,,,,,,,
Day39,Week20,18-05-2019,CSE 7323c,Building End-to-End Data Science Applications,,,,,,,,,,,,,,
Day40,Week20,19-05-2019,CSE 7323c,Building End-to-End Data Science Applications,,,,,,,,,,,,,,
Day41,Week21,25-05-2019,CSE 7323c,Building End-to-End Data Science Applications,,,,,,,,,,,,,,
Day42,Week21,26-05-2019,CSE 7323c,Building End-to-End Data Science Applications,,,,,,,,,,,,,,
Day43,Week22,01-06-2019,CSE 7323c,Building End-to-End Data Science Applications,,,,,,,,,,,,,,
Day44,Week22,02-06-2019,CSE 7323c,Building End-to-End Data Science Applications,,,,,,,,,,,,,,
Day45,Week23,08-06-2019,CSE 9099,PHD: Hackathon,,,,,,,,,,,,,,
Day46,Week23,09-06-2019,CSE 9099,PHD: Hackathon,,,,,,,,,,,,,,
Day47,Week24,15-06-2019,CSE 9099,PHD: Hackathon,,,,,,,,,,,,,,
Day48,Week24,16-06-2019,CSE 9099,PHD: Hackathon,,,,,,,,,,,,,,
