Day,Week,Date,Module,Module Text,Topics,Proposed,Best,Best Score,2nd Best,2nd Best Score,3rd Best,3rd Best Scrore,4rd Best,4rd Best Scrore,5rd Best,5rd Best Scrore,Mapping,Mentor Dictionary
Day11,Week6,02-03-2019,CSE 7302c,Statistics and Probability in Decision Modeling,Multiple Linear Regression and Feature Selection (StepAIC & VIF),Dr. Manoj Duse,Dr. Praphul Chandra,6.72,Dr. Manoj Duse,6.72,Dr. Anand Narasimhamurthy,6.72,Dr. Sridhar Pappu,4.8,Dr. Anand Jayaraman,4.8,['Linear Regression'],"{'Dr. Praphul Chandra': 6.7200000000000015, 'Dr. Sridhar Pappu': 4.800000000000002, 'Dr. Rohit Lotlikar': 3.3600000000000003, 'Dr. Anand Jayaraman': 4.800000000000002, 'Dr. Manoj Duse': 6.7200000000000015, 'Dr. Dakshinamurthy Kolluru': 1.6, 'Dr. Anand Narasimhamurthy': 6.7200000000000015}"
Day12,Week6,03-03-2019,CSE 7302c,Statistics and Probability in Decision Modeling,Logistic Regression & Naive Bayes Classifier,Dr. Manoj Duse,Dr. Praphul Chandra,13.44,Dr. Manoj Duse,13.44,Dr. Sridhar Pappu,9.6,Dr. Anand Jayaraman,8,Dr. Rohit Lotlikar,6.72,"['Logistic Regression', ' Naive Bayes']","{'Dr. Praphul Chandra': 13.440000000000003, 'Dr. Sridhar Pappu': 9.600000000000003, 'Dr. Rohit Lotlikar': 6.720000000000001, 'Dr. Anand Jayaraman': 8.000000000000002, 'Dr. Manoj Duse': 13.440000000000003, 'Dr. Dakshinamurthy Kolluru': 3.2, 'Dr. Surya Kompalli': 6.4}"
Day13,Week7,09-03-2019,CSE 7302c,Statistics and Probability in Decision Modeling,PCA & Regularization,Dr. Manoj Duse,Dr. Praphul Chandra,13.44,Dr. Manoj Duse,13.44,Dr. Anand Narasimhamurthy,13.44,Dr. Sridhar Pappu,9.6,Dr. Anand Jayaraman,9.6,"['PCA', ' Regularization']","{'Dr. Praphul Chandra': 13.440000000000003, 'Dr. Sridhar Pappu': 9.600000000000003, 'Dr. Rohit Lotlikar': 6.720000000000001, 'Dr. Anand Jayaraman': 9.600000000000003, 'Dr. Manoj Duse': 13.440000000000003, 'Dr. Anand Narasimhamurthy': 13.440000000000003}"
Day14,Week7,10-03-2019,CSE 7302c,Statistics and Probability in Decision Modeling,Time Series,Dr. Manoj Duse,Dr. Praphul Chandra,6.72,Dr. Manoj Duse,6.72,Dr. Sridhar Pappu,4.8,Dr. Anand Jayaraman,4.8,Dr. Anand Narasimhamurthy,3.36,['Time Series'],"{'Dr. Praphul Chandra': 6.7200000000000015, 'Dr. Sridhar Pappu': 4.800000000000002, 'Dr. Anand Jayaraman': 4.800000000000002, 'Dr. Manoj Duse': 6.7200000000000015, 'Dr. Anand Narasimhamurthy': 3.3600000000000003}"
Day15,Week8,16-03-2019,CUTe,CSE 7302c,,,,,,,,,,,,,,
Day16,Week8,17-03-2019,CSE 7305c,Methods and Algorithms in Machine Learning,"Introduction to Unsupervised Methods, Distance Metrics, Clustering (Hierarchical & Kmeans)",Dr. Praphul Chandra,Dr. Praphul Chandra,10.08,Dr. Rohit Lotlikar,6.72,Dr. Kishore Konda,4.8,Dr. Anand Narasimhamurthy,3.36,Dr. Anand Jayaraman,3.2,['Clustering'],"{'Dr. Praphul Chandra': 10.080000000000002, 'Dr. Rohit Lotlikar': 6.7200000000000015, 'Dr. Anand Jayaraman': 3.2, 'Dr. Kishore Konda': 4.800000000000002, 'Dr. Dakshinamurthy Kolluru': 1.6, 'Dr. Sreerama Murthy': 3.0, 'Dr. Anand Narasimhamurthy': 3.3600000000000003}"
Day17,Week9,23-03-2019,CSE 7305c,Methods and Algorithms in Machine Learning,Association Rules (Apriori) and Decision Trees (CART & C50),Dr. Praphul Chandra,Dr. Praphul Chandra,20.16,Dr. Manoj Duse,20.16,Dr. Rohit Lotlikar,13.44,Dr. Anand Narasimhamurthy,10.08,Dr. Surya Kompalli,8,"['Decision Trees', ' Association Rules']","{'Dr. Praphul Chandra': 20.160000000000004, 'Dr. Sridhar Pappu': 6.4, 'Dr. Rohit Lotlikar': 13.440000000000003, 'Dr. Manoj Duse': 20.160000000000004, 'Dr. Anand Jayaraman': 6.4, 'Dr. Surya Kompalli': 8.000000000000002, 'Dr. Sreerama Murthy': 6.0, 'Dr. Anand Narasimhamurthy': 10.080000000000002}"
Day18,Week9,24-03-2019,CSE 7305c,Methods and Algorithms in Machine Learning,KNN & Collaborative Filtering,Dr. Praphul Chandra,Dr. Praphul Chandra,10.08,Dr. Manoj Duse,6.72,Dr. Rohit Lotlikar,3.36,Dr. Anand Narasimhamurthy,3.36,Dr. Anand Jayaraman,3.2,['KNN & Collabrative Filtering'],"{'Dr. Praphul Chandra': 10.080000000000002, 'Dr. Rohit Lotlikar': 3.3600000000000003, 'Dr. Anand Jayaraman': 3.2, 'Dr. Manoj Duse': 6.7200000000000015, 'Dr. Manish Gupta': 3.0, 'Dr. Surya Kompalli': 3.2, 'Dr. Sreerama Murthy': 3.0, 'Dr. Anand Narasimhamurthy': 3.3600000000000003}"
Day19,Week10,30-03-2019,CSE 7305c,Methods and Algorithms in Machine Learning,Ensemble techniques: Bagging (RF) & Boosting (GBM),Dr. Praphul Chandra,Dr. Praphul Chandra,10.08,Dr. Surya Kompalli,4.8,Dr. Anand Jayaraman,3.2,Dr. Manish Gupta,3,Dr. Sreerama Murthy,3,['Ensembles Bagging (RF) & Boosting (GBM)'],"{'Dr. Praphul Chandra': 10.080000000000002, 'Dr. Anand Jayaraman': 3.2, 'Dr. Manish Gupta': 3.0, 'Dr. Surya Kompalli': 4.800000000000002, 'Dr. Sreerama Murthy': 3.0}"
Day20,Week10,31-03-2019,CSE 7305c,Methods and Algorithms in Machine Learning,SVM and Summary on Architecting ML Solutions,Dr. Praphul Chandra,Dr. Praphul Chandra,20.16,Dr. Manoj Duse,16.8,Dr. Anand Jayaraman,6.4,Dr. Surya Kompalli,6.4,Dr. Manish Gupta,6,"['SVM', ' Architecting ML Solutions']","{'Dr. Praphul Chandra': 20.160000000000004, 'Dr. Anand Jayaraman': 6.4, 'Dr. Manoj Duse': 16.800000000000004, 'Dr. Dakshinamurthy Kolluru': 3.2, 'Dr. Manish Gupta': 6.0, 'Dr. Surya Kompalli': 6.4, 'Dr. Sreerama Murthy': 6.0}"
