Day,Date,Module,Module Text,Proposed,Best,Best Score,2nd Best,2nd Best Score,3rd Best,3rd Best Scrore,4rd Best,4rd Best Scrore,5rd Best,5rd Best Scrore,Mapping,Mentor Dictionary
Day55,10-05-2019,CSE 7322c,Data Management,Dr. Sreerama Murthy,Dr. Surya Kompalli,10.08,Dr. Sreerama Murthy,6.3,Dr. Praphul Chandra,4.8,Dr. Manoj Duse,4.8,Dr. Manish Gupta,2.1,['Data Management'],"{'Dr. Praphul Chandra': 4.800000000000002, 'Dr. Manoj Duse': 4.800000000000002, 'Dr. Manish Gupta': 2.1, 'Dr. Surya Kompalli': 10.080000000000002, 'Dr. Sreerama Murthy': 6.300000000000002}"
Day56,13-05-2019,CSE 7322c,Data Management,Dr. Sreerama Murthy,Dr. Sreerama Murthy,6.3,Dr. Praphul Chandra,4.8,Dr. Manoj Duse,4.8,Dr. Manish Gupta,2.1,,,['Data Management'],"{'Dr. Sreerama Murthy': 6.300000000000002, 'Dr. Manish Gupta': 2.1, 'Dr. Praphul Chandra': 4.800000000000002, 'Dr. Manoj Duse': 4.800000000000002}"
Day57,14-05-2019,,Language,,,,,,,,,,,,['Language'],
Day58,15-05-2019,CSE 7321c,AI and Decision Sciences,Dr. Kishore Konda,Dr. Kishore Konda,10.08,Dr. Surya Kompalli,10.08,Dr. Sreerama Murthy,6.3,Dr. Dakshinamurthy Kolluru,3.36,Dr. Praphul Chandra,1.6,['AI and Decision Sciences'],"{'Dr. Praphul Chandra': 1.6, 'Dr. Rohit Lotlikar': 1.6, 'Dr. Manoj Duse': 1.6, 'Dr. Kishore Konda': 10.080000000000002, 'Dr. Dakshinamurthy Kolluru': 3.3600000000000003, 'Dr. Surya Kompalli': 10.080000000000002, 'Dr. Sreerama Murthy': 6.300000000000002}"
Day59,16-05-2019,CSE 7321c,AI and Decision Sciences,Dr. Kishore Konda,Dr. Kishore Konda,10.08,Dr. Surya Kompalli,10.08,Dr. Sreerama Murthy,6.3,Dr. Dakshinamurthy Kolluru,3.36,Dr. Praphul Chandra,1.6,['AI and Decision Sciences'],"{'Dr. Praphul Chandra': 1.6, 'Dr. Rohit Lotlikar': 1.6, 'Dr. Manoj Duse': 1.6, 'Dr. Kishore Konda': 10.080000000000002, 'Dr. Dakshinamurthy Kolluru': 3.3600000000000003, 'Dr. Surya Kompalli': 10.080000000000002, 'Dr. Sreerama Murthy': 6.300000000000002}"
Day60,17-05-2019,CSE 7321c,AI and Decision Sciences,Dr. Surya Kompalli,Dr. Surya Kompalli,10.08,Dr. Sreerama Murthy,6.3,Dr. Dakshinamurthy Kolluru,3.36,Dr. Praphul Chandra,1.6,Dr. Rohit Lotlikar,1.6,['AI and Decision Sciences'],"{'Dr. Praphul Chandra': 1.6, 'Dr. Rohit Lotlikar': 1.6, 'Dr. Manoj Duse': 1.6, 'Dr. Dakshinamurthy Kolluru': 3.3600000000000003, 'Dr. Surya Kompalli': 10.080000000000002, 'Dr. Sreerama Murthy': 6.300000000000002}"
Day61,20-05-2019,CSE 7322c,Data Management,Dr. Sreerama Murthy,Dr. Sreerama Murthy,6.3,Dr. Praphul Chandra,4.8,Dr. Manoj Duse,4.8,Dr. Manish Gupta,2.1,,,['Data Management'],"{'Dr. Sreerama Murthy': 6.300000000000002, 'Dr. Manish Gupta': 2.1, 'Dr. Praphul Chandra': 4.800000000000002, 'Dr. Manoj Duse': 4.800000000000002}"
Day62,21-05-2019,,Language,,,,,,,,,,,,['Language'],
Day63,22-05-2019,CSE 7322c,Data Management,Dr. Sreerama Murthy,Dr. Surya Kompalli,10.08,Dr. Sreerama Murthy,6.3,Dr. Praphul Chandra,4.8,Dr. Manoj Duse,4.8,Dr. Manish Gupta,2.1,['Data Management'],"{'Dr. Praphul Chandra': 4.800000000000002, 'Dr. Manoj Duse': 4.800000000000002, 'Dr. Manish Gupta': 2.1, 'Dr. Surya Kompalli': 10.080000000000002, 'Dr. Sreerama Murthy': 6.300000000000002}"
Day64,23-05-2019,CSE 7322c,Applying ML to Big Data Using Hadoop and Spark Ecosystem,,,,,,,,,,,,['Applying ML to Big Data Using Hadoop and Spark Ecosystem'],
Day65,24-05-2019,CSE 7322c,Applying ML to Big Data Using Hadoop and Spark Ecosystem,,,,,,,,,,,,['Applying ML to Big Data Using Hadoop and Spark Ecosystem'],
Day66,27-05-2019,CSE 7322c,Applying ML to Big Data Using Hadoop and Spark Ecosystem,,,,,,,,,,,,['Applying ML to Big Data Using Hadoop and Spark Ecosystem'],
Day67,28-05-2019,,Language,,,,,,,,,,,,['Language'],
Day68,29-05-2019,CSE9099c,Project viva,,,,,,,,,,,,['Project viva'],
Day69,30-05-2019,CSE9099c,Project viva,,,,,,,,,,,,['Project viva'],
