Day,Week,Date,Module,Module Text,Topics,Best,Best Score,2nd Best,2nd Best Score,3rd Best,3rd Best Scrore,4rd Best,4rd Best Scrore,5rd Best,5rd Best Scrore,Mapping,Mentor Dictionary
Day19,Week10,2019-06-01,CSE 7305c,Methods and Algorithms in Machine Learning,Ensemble techniques: Bagging (RF) & Boosting (GBM),Dr. Surya Kompalli,4.800000000000002,Dr. Anand Narasimhamurthy,3.3600000000000003,Dr. Rohit Lotlikar,3.3600000000000003,Dr. Anand Jayaraman,3.2,Dr. Manish Gupta,3.0,['Ensembles Bagging (RF) & Boosting (GBM)'],"{'Dr. Manish Gupta': 3.0, 'Dr. Surya Kompalli': 4.800000000000002, 'Dr. Anand Narasimhamurthy': 3.3600000000000003, 'Dr. Sreerama Murthy': 3.0, 'Dr. Kishore Konda': 1.6, 'Dr. Rohit Lotlikar': 3.3600000000000003, 'Dr. Dakshinamurthy Kolluru': 1.6, 'Dr. Anand Jayaraman': 3.2}"
Day20,Week10,2019-06-02,CSE 7305c,Methods and Algorithms in Machine Learning,SVM and Summary on Architecting ML Solutions,Dr. Anand Narasimhamurthy,6.7200000000000015,Dr. Surya Kompalli,6.4,Dr. Anand Jayaraman,6.4,Dr. Manish Gupta,6.0,Dr. Sreerama Murthy,6.0,"['SVM', ' Architecting ML Solutions']","{'Dr. Manish Gupta': 6.0, 'Dr. Surya Kompalli': 6.4, 'Dr. Anand Narasimhamurthy': 6.7200000000000015, 'Dr. Sreerama Murthy': 6.0, 'Dr. Kishore Konda': 4.800000000000001, 'Dr. Rohit Lotlikar': 3.3600000000000003, 'Dr. Dakshinamurthy Kolluru': 3.2, 'Dr. Anand Jayaraman': 6.4}"
,,2019-06-08,,,,,,,,,,,,,,,
,,2019-06-09,,,,,,,,,,,,,,,
Day21,Week11,2019-06-15,CUTe,CSE 7305c,,,,,,,,,,,,,
Day22,Week11,2019-06-16,CSE 7124c,Foundations of Text Mining and Search,"Text Mining - TF-IDF, Matrix Factorization (SVD)",Dr. Rohit Lotlikar,3.3600000000000003,Dr. Surya Kompalli,3.2,Dr. Kishore Konda,3.2,Dr. Manish Gupta,3.0,Dr. Sreerama Murthy,2.0,"['Text Mining - TF-IDF, Matrix Factorization (SVD)']","{'Dr. Manish Gupta': 3.0, 'Dr. Surya Kompalli': 3.2, 'Dr. Sreerama Murthy': 2.0, 'Dr. Kishore Konda': 3.2, 'Dr. Rohit Lotlikar': 3.3600000000000003, 'Dr. Dakshinamurthy Kolluru': 1.6}"
Day23,Week12,2019-06-22,CSE 7124c,Foundations of Text Mining and Search,"Text Mining – Page Rank, Text Classification & Sentiment Analysis",Dr. Surya Kompalli,3.2,Dr. Kishore Konda,3.2,Dr. Manish Gupta,3.0,Dr. Sreerama Murthy,2.0,Dr. Dakshinamurthy Kolluru,1.6,"['Text Mining - Page Rank, Text Classification & Sentiment Analysis']","{'Dr. Manish Gupta': 3.0, 'Dr. Surya Kompalli': 3.2, 'Dr. Sreerama Murthy': 2.0, 'Dr. Kishore Konda': 3.2, 'Dr. Dakshinamurthy Kolluru': 1.6}"
Day24,Week12,2019-06-23,CSE 7120c,The Art and Science of Storytelling with Data Visualizations,Art and Science of Data Visualization,Dr. Sridhar Pappu,3.2,Dr. Sreerama Murthy,2.0,Dr. Dakshinamurthy Kolluru,1.6,,,,,['Art and Science of Data Visualisation'],"{'Dr. Sridhar Pappu': 3.2, 'Dr. Sreerama Murthy': 2.0, 'Dr. Dakshinamurthy Kolluru': 1.6}"
Day25,Week13,2019-06-29,LAB DAY,CSE 7120c,,,,,,,,,,,,,
Day26,Week13,2019-06-30,CSE 7321c – AI,AI and Decision Sciences,ANN,Dr. Kishore Konda,4.800000000000002,Dr. Anand Narasimhamurthy,3.3600000000000003,Dr. Praphul Chandra,3.3600000000000003,Dr. Sreerama Murthy,3.0,Dr. Dakshinamurthy Kolluru,1.6,['ANN'],"{'Dr. Anand Narasimhamurthy': 3.3600000000000003, 'Dr. Sreerama Murthy': 3.0, 'Dr. Kishore Konda': 4.800000000000002, 'Dr. Dakshinamurthy Kolluru': 1.6, 'Dr. Praphul Chandra': 3.3600000000000003}"
Day27,Week14,2019-07-06,MiTH,Scholarship Exam,,,,,,,,,,,,,
Day28,Week14,2019-07-07,MiTH,Scholarship Exam,,,,,,,,,,,,,
Day29,Week15,2019-07-13,CSE 7321c – AI,AI and Decision Sciences,Deep Learning,Dr. Rohit Lotlikar,3.3600000000000003,Dr. Praphul Chandra,3.3600000000000003,Dr. Sreerama Murthy,3.0,Dr. Surya Kompalli,1.6,Dr. Dakshinamurthy Kolluru,1.6,['Deep Learning'],"{'Dr. Surya Kompalli': 1.6, 'Dr. Sreerama Murthy': 3.0, 'Dr. Rohit Lotlikar': 3.3600000000000003, 'Dr. Dakshinamurthy Kolluru': 1.6, 'Dr. Praphul Chandra': 3.3600000000000003}"
Day30,Week15,2019-07-14,CSE 7321c – AI,AI and Decision Sciences,CNN,Dr. Praphul Chandra,3.3600000000000003,Dr. Rohit Lotlikar,3.3600000000000003,Dr. Sreerama Murthy,3.0,Dr. Dakshinamurthy Kolluru,1.6,,,['CNN'],"{'Dr. Dakshinamurthy Kolluru': 1.6, 'Dr. Praphul Chandra': 3.3600000000000003, 'Dr. Rohit Lotlikar': 3.3600000000000003, 'Dr. Sreerama Murthy': 3.0}"
Day31,Week16,2019-07-20,CSE 7321c – AI,AI and Decision Sciences,RNN & LSTM,Dr. Praphul Chandra,3.3600000000000003,Dr. Sreerama Murthy,3.0,Dr. Dakshinamurthy Kolluru,1.6,,,,,['RNN & LSTM'],"{'Dr. Dakshinamurthy Kolluru': 1.6, 'Dr. Sreerama Murthy': 3.0, 'Dr. Praphul Chandra': 3.3600000000000003}"
Day32,Week16,2019-07-21,CSE 7321c,AI and Decision Sciences,Linear Programming,Dr. Rohit Lotlikar,3.3600000000000003,Dr. Praphul Chandra,3.3600000000000003,Dr. Sreerama Murthy,3.0,Dr. Kishore Konda,1.6,Dr. Dakshinamurthy Kolluru,1.6,['Linear Programming'],"{'Dr. Sreerama Murthy': 3.0, 'Dr. Kishore Konda': 1.6, 'Dr. Rohit Lotlikar': 3.3600000000000003, 'Dr. Dakshinamurthy Kolluru': 1.6, 'Dr. Anand Jayaraman': 1.6, 'Dr. Praphul Chandra': 3.3600000000000003}"
Day33,Week17,2019-07-27,CSE 7321c,AI and Decision Sciences,Monte Carlo Simulations & Genetic Algorithm,Dr. Rohit Lotlikar,3.3600000000000003,Dr. Praphul Chandra,3.3600000000000003,Dr. Surya Kompalli,3.2,Dr. Kishore Konda,3.2,Dr. Sreerama Murthy,3.0,['Monte Carlo Simulations & Genetic Algorithm'],"{'Dr. Surya Kompalli': 3.2, 'Dr. Sreerama Murthy': 3.0, 'Dr. Kishore Konda': 3.2, 'Dr. Rohit Lotlikar': 3.3600000000000003, 'Dr. Dakshinamurthy Kolluru': 1.6, 'Dr. Praphul Chandra': 3.3600000000000003}"
Day34,Week17,2019-07-28,CUTe,CSE 7321c,,,,,,,,,,,,,
Day35,Week18,2019-08-03,CSE 7322c,Applying ML to Big Data Using Hadoop and Spark Ecosystem,Big Data,Dr. Surya Kompalli,3.2,Dr. Sreerama Murthy,2.0,Dr. Dakshinamurthy Kolluru,1.6,,,,,['Big Data'],"{'Dr. Dakshinamurthy Kolluru': 1.6, 'Dr. Sreerama Murthy': 2.0, 'Dr. Surya Kompalli': 3.2}"
Day36,Week18,2019-08-04,CSE 7322c,Applying ML to Big Data Using Hadoop and Spark Ecosystem,Big Data,Dr. Surya Kompalli,3.2,Dr. Sreerama Murthy,2.0,Dr. Dakshinamurthy Kolluru,1.6,,,,,['Big Data'],"{'Dr. Dakshinamurthy Kolluru': 1.6, 'Dr. Sreerama Murthy': 2.0, 'Dr. Surya Kompalli': 3.2}"
Day37,Week19,2019-08-10,CSE 7323c,Building End-to-End Data Science Applications,,,,,,,,,,,,,
Day38,Week19,2019-08-11,CSE 7323c,Building End-to-End Data Science Applications,,,,,,,,,,,,,
Day39,Week20,2019-08-17,CSE 7323c,Building End-to-End Data Science Applications,,,,,,,,,,,,,
Day40,Week20,2019-08-18,CSE 7323c,Building End-to-End Data Science Applications,,,,,,,,,,,,,
Day41,Week21,2019-08-24,CSE 7323c,Building End-to-End Data Science Applications,,,,,,,,,,,,,
Day42,Week21,2019-08-25,CSE 7323c,Building End-to-End Data Science Applications,,,,,,,,,,,,,
Day43,Week22,2019-08-31,CSE 7323c,Building End-to-End Data Science Applications,,,,,,,,,,,,,
Day44,Week22,2019-09-01,CSE 7323c,Building End-to-End Data Science Applications,,,,,,,,,,,,,
Day45,Week23,2019-09-07,CSE 9099,PHD: Hackathon,,,,,,,,,,,,,
Day46,Week23,2019-09-08,CSE 9099,PHD: Hackathon,,,,,,,,,,,,,
Day47,Week24,2019-09-14,CSE 9099,PHD: Hackathon,,,,,,,,,,,,,
Day48,Week24,2019-09-15,CSE 9099,PHD: Hackathon,,,,,,,,,,,,,
